Rent,Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Listing_Title,Listing_Description,Amenities_Text,Landmarks_Text,Reviews_Text,Complaints_Text,Lease_Rules_Text,Inquiry_Text,Inspection_Notes_Text,Scam_Flag,Scam_Rationale,Cluster
11000,2022-06-30,2,800,1 out of 2,super area,"narayanapuram, kovilambakkam",chennai,semi-furnished,family,2,contact owner,"2 bhk semi-furnished home in narayanapuram, kovilambakkam, chennai","2 bhk semi-furnished home of 800 sq ft (super area). location: narayanapuram, kovilambakkam, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: family. rent: inr 11000 per month.","visitor parking, community hall, gated community, waste management, parking, water supply, power backup",near bus stop (1.7 km); near mosque (1.3 km); near college (0.6 km); near atm (3.6 km),parking is convenient and secure. | owner is responsive and helpful. | clean and well maintained building.,not_applicable,maintenance charges are extra. no smoking inside the house. pets allowed only with prior approval.,"looking for a 2 bhk near narayanapuram, kovilambakkam within inr 11000.",flooring shows normal wear. kitchen cabinets in good condition. walls need minor repainting.,no,not_applicable,1
10000,2022-05-31,1,500,ground out of 2,carpet area,kodambakkam,chennai,unfurnished,bachelors,1,contact agent,"1 bhk unfurnished home in kodambakkam, chennai","1 bhk unfurnished home of 500 sq ft (carpet area). location: kodambakkam, chennai. floor: ground out of 2. bathrooms: 1. tenant preference: bachelors. rent: inr 10000 per month.","solar lighting, community hall, club house, fire safety, lift, play area, intercom, power backup",near college (2.3 km); near mosque (1.4 km); near mall (0.8 km),owner is responsive and helpful. | spacious rooms and good ventilation. | easy access to public transport.,not_applicable,tenant must follow society by-laws. no loud music after 10 pm. security deposit is two months rent. no smoking inside the house.,"want to move in next month, budget around inr 10000.",electrical fittings are working properly. flooring shows normal wear.,no,not_applicable,1
30000,2022-07-10,3,1500,ground out of 14,carpet area,porur,chennai,semi-furnished,bachelors/family,3,contact agent,"3 bhk semi-furnished home in porur, chennai","3 bhk semi-furnished home of 1500 sq ft (carpet area). location: porur, chennai. floor: ground out of 14. bathrooms: 3. tenant preference: bachelors/family. rent: inr 30000 per month.","solar lighting, parking, rainwater harvesting, power backup, play area, gated community, intercom, gym",near park (3.4 km); near church (2.4 km),clean and well maintained building. | parking is convenient and secure. | easy access to public transport.,not_applicable,no smoking inside the house. no loud music after 10 pm. maintenance charges are extra.,"need a semi-furnished home in chennai, prefer bachelors/family.",good natural light in living room. kitchen cabinets in good condition. electrical fittings are working properly.,no,not_applicable,0
8000,2022-07-05,1,550,2 out of 2,super area,"padur, old mahabalipuram road",chennai,furnished,bachelors/family,1,contact owner,"1 bhk furnished home in padur, old mahabalipuram road, chennai","1 bhk furnished home of 550 sq ft (super area). location: padur, old mahabalipuram road, chennai. floor: 2 out of 2. bathrooms: 1. tenant preference: bachelors/family. rent: inr 8000 per month.","gated community, power backup, intercom, parking, community hall, solar lighting",near park (2.0 km); near clinic (1.5 km); near bus stop (1.5 km); near temple (3.8 km),maintenance is timely and professional. | spacious rooms and good ventilation. | owner is responsive and helpful.,not_applicable,maintenance charges are extra. tenant must follow society by-laws. no smoking inside the house.,"want to move in next month, budget around inr 8000.",electrical fittings are working properly. flooring shows normal wear. bathrooms are clean and functional.,no,not_applicable,1
7000,2022-06-06,1,400,ground out of 2,super area,nanmangalam,chennai,semi-furnished,bachelors/family,1,contact owner,"1 bhk semi-furnished home in nanmangalam, chennai","1 bhk semi-furnished home of 400 sq ft (super area). location: nanmangalam, chennai. floor: ground out of 2. bathrooms: 1. tenant preference: bachelors/family. rent: inr 7000 per month.","security, play area, community hall, cctv, club house",near temple (1.9 km); near clinic (1.0 km),maintenance is timely and professional. | owner is responsive and helpful.,not_applicable,one month notice required before vacating. no loud music after 10 pm. pets allowed only with prior approval.,searching for a rental with parking and lift around nanmangalam.,bathrooms are clean and functional. walls need minor repainting. kitchen cabinets in good condition.,no,not_applicable,1
10000,2022-06-18,1,550,2 out of 3,carpet area,"luz, mylapore",chennai,unfurnished,bachelors,1,contact owner,"1 bhk unfurnished home in luz, mylapore, chennai","1 bhk unfurnished home of 550 sq ft (carpet area). location: luz, mylapore, chennai. floor: 2 out of 3. bathrooms: 1. tenant preference: bachelors. rent: inr 10000 per month.","rainwater harvesting, fire safety, lift, visitor parking, maintenance staff, gated community, club house",near metro station (0.8 km); near clinic (3.5 km),clean and well maintained building. | parking is convenient and secure. | easy access to public transport.,not_applicable,maintenance charges are extra. no loud music after 10 pm. tenant must follow society by-laws.,"want to move in next month, budget around inr 10000.",good natural light in living room. kitchen cabinets in good condition.,no,not_applicable,1
9300,2022-05-20,2,730,1 out of 2,super area,ambattur,chennai,unfurnished,bachelors/family,1,contact owner,"2 bhk unfurnished home in ambattur, chennai","2 bhk unfurnished home of 730 sq ft (super area). location: ambattur, chennai. floor: 1 out of 2. bathrooms: 1. tenant preference: bachelors/family. rent: inr 9300 per month.","club house, lift, waste management, water supply, gym, maintenance staff, parking, cctv",near school (2.4 km); near mall (1.5 km); near church (3.0 km),clean and well maintained building. | maintenance is timely and professional. | safe area with friendly neighbors.,not_applicable,security deposit is two months rent. maintenance charges are extra. tenant must follow society by-laws. no smoking inside the house.,"need a unfurnished home in chennai, prefer bachelors/family.",good natural light in living room. electrical fittings are working properly. bathrooms are clean and functional.,no,not_applicable,1
10500,2022-05-01,2,1000,1 out of 2,carpet area,kambar nagar-kolathur,chennai,semi-furnished,family,2,contact owner,"2 bhk semi-furnished home in kambar nagar-kolathur, chennai","2 bhk semi-furnished home of 1000 sq ft (carpet area). location: kambar nagar-kolathur, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: family. rent: inr 10500 per month.","cctv, maintenance staff, parking, gated community, rainwater harvesting",near pharmacy (0.5 km); near railway station (1.6 km),good water supply and quiet neighborhood. | clean and well maintained building.,not_applicable,no loud music after 10 pm. security deposit is two months rent. no smoking inside the house. one month notice required before vacating.,looking for a 2 bhk near kambar nagar-kolathur within inr 10500.,kitchen cabinets in good condition. bathrooms are clean and functional.,no,not_applicable,1
16000,2022-07-10,2,975,ground out of 2,carpet area,kovilambakkam,chennai,semi-furnished,bachelors/family,2,contact agent,"2 bhk semi-furnished home in kovilambakkam, chennai","2 bhk semi-furnished home of 975 sq ft (carpet area). location: kovilambakkam, chennai. floor: ground out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 16000 per month.","parking, lift, rainwater harvesting, park, waste management, power backup, maintenance staff, intercom",near college (0.4 km); near bus stop (0.6 km),parking is convenient and secure. | maintenance is timely and professional. | clean and well maintained building.,not_applicable,one month notice required before vacating. pets allowed only with prior approval. no loud music after 10 pm.,searching for a rental with parking and lift around kovilambakkam.,good natural light in living room. kitchen cabinets in good condition. bathrooms are clean and functional.,no,not_applicable,1
20000,2022-06-05,2,1800,12 out of 19,super area,old mahabalipuram road,chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in old mahabalipuram road, chennai","2 bhk semi-furnished home of 1800 sq ft (super area). location: old mahabalipuram road, chennai. floor: 12 out of 19. bathrooms: 2. tenant preference: bachelors/family. rent: inr 20000 per month.","community hall, internet ready, waste management, maintenance staff, gym, solar lighting",near park (1.3 km); near clinic (3.8 km); near bank (3.1 km),good water supply and quiet neighborhood. | easy access to public transport. | parking is convenient and secure.,not_applicable,one month notice required before vacating. no smoking inside the house. pets allowed only with prior approval.,looking for a 2 bhk near old mahabalipuram road within inr 20000.,good natural light in living room. walls need minor repainting.,no,not_applicable,0
9000,2022-05-20,2,745,1 out of 2,super area,ambattur,chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in ambattur, chennai","2 bhk semi-furnished home of 745 sq ft (super area). location: ambattur, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 9000 per month.","club house, visitor parking, lift, cctv, rainwater harvesting",near temple (0.6 km); near supermarket (3.6 km); near atm (1.1 km); near railway station (3.6 km),maintenance is timely and professional. | owner is responsive and helpful. | easy access to public transport.,not_applicable,pets allowed only with prior approval. no smoking inside the house. one month notice required before vacating.,looking for a 2 bhk near ambattur within inr 9000.,kitchen cabinets in good condition. flooring shows normal wear. electrical fittings are working properly.,no,not_applicable,1
18000,2022-07-06,2,900,1 out of 4,carpet area,medavakkam,chennai,semi-furnished,family,2,contact agent,"2 bhk semi-furnished home in medavakkam, chennai","2 bhk semi-furnished home of 900 sq ft (carpet area). location: medavakkam, chennai. floor: 1 out of 4. bathrooms: 2. tenant preference: family. rent: inr 18000 per month.","maintenance staff, waste management, gym, park, club house",near mall (1.4 km); near college (1.0 km); near market (3.3 km),easy access to public transport. | spacious rooms and good ventilation. | good water supply and quiet neighborhood.,not_applicable,pets allowed only with prior approval. tenant must follow society by-laws. no loud music after 10 pm.,"want to move in next month, budget around inr 18000.",kitchen cabinets in good condition. walls need minor repainting. electrical fittings are working properly.,no,not_applicable,1
10000,2022-05-02,2,600,ground out of 1,super area,"jaya nagar, porur, chennai bypass road",chennai,unfurnished,family,2,contact owner,"2 bhk unfurnished home in jaya nagar, porur, chennai bypass road, chennai","2 bhk unfurnished home of 600 sq ft (super area). location: jaya nagar, porur, chennai bypass road, chennai. floor: ground out of 1. bathrooms: 2. tenant preference: family. rent: inr 10000 per month.","waste management, visitor parking, rainwater harvesting, parking, play area, gym, internet ready",near school (2.5 km); near metro station (2.3 km),parking is convenient and secure. | clean and well maintained building. | safe area with friendly neighbors.,not_applicable,maintenance charges are extra. tenant must follow society by-laws. pets allowed only with prior approval. no loud music after 10 pm.,"looking for a 2 bhk near jaya nagar, porur, chennai bypass road within inr 10000.",walls need minor repainting. good natural light in living room.,no,not_applicable,1
16000,2022-06-14,2,600,2 out of 2,super area,saidapet,chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in saidapet, chennai","2 bhk unfurnished home of 600 sq ft (super area). location: saidapet, chennai. floor: 2 out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 16000 per month.","waste management, internet ready, gated community, security, power backup",near atm (2.9 km); near bank (1.9 km),clean and well maintained building. | parking is convenient and secure. | safe area with friendly neighbors.,listing photos did not match actual house.,one month notice required before vacating. maintenance charges are extra. security deposit is two months rent.,searching for a rental with parking and lift around saidapet.,kitchen cabinets in good condition. good natural light in living room.,yes,owner refused physical visit. | unusually low rent for the area.,1
13500,2022-06-03,1,450,3 out of 4,carpet area,kodambakkam,chennai,unfurnished,bachelors,1,contact owner,"1 bhk unfurnished home in kodambakkam, chennai","1 bhk unfurnished home of 450 sq ft (carpet area). location: kodambakkam, chennai. floor: 3 out of 4. bathrooms: 1. tenant preference: bachelors. rent: inr 13500 per month.","cctv, water supply, waste management, visitor parking, rainwater harvesting",near metro station (3.5 km); near school (3.1 km),good water supply and quiet neighborhood. | owner is responsive and helpful.,unexpected maintenance charges were added.,tenant must follow society by-laws. maintenance charges are extra. no smoking inside the house.,searching for a rental with parking and lift around kodambakkam.,electrical fittings are working properly. flooring shows normal wear. kitchen cabinets in good condition.,yes,inconsistent photos and description. | owner refused physical visit.,1
16000,2022-05-20,2,1030,2 out of 4,super area,thoraipakkam,chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in thoraipakkam, chennai","2 bhk semi-furnished home of 1030 sq ft (super area). location: thoraipakkam, chennai. floor: 2 out of 4. bathrooms: 2. tenant preference: bachelors/family. rent: inr 16000 per month.","fire safety, security, waste management, gym, cctv",near bus stop (3.0 km); near park (2.8 km); near pharmacy (2.7 km),good water supply and quiet neighborhood. | clean and well maintained building.,not_applicable,one month notice required before vacating. pets allowed only with prior approval. security deposit is two months rent.,"need a semi-furnished home in chennai, prefer bachelors/family.",good natural light in living room. walls need minor repainting. bathrooms are clean and functional.,no,not_applicable,1
8500,2022-06-21,2,833,1 out of 2,super area,"perungalathur, chennai bypass road",chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in perungalathur, chennai bypass road, chennai","2 bhk unfurnished home of 833 sq ft (super area). location: perungalathur, chennai bypass road, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 8500 per month.","power backup, club house, rainwater harvesting, cctv, lift",near mosque (2.2 km); near bus stop (2.9 km),good water supply and quiet neighborhood. | clean and well maintained building. | easy access to public transport.,not_applicable,maintenance charges are extra. security deposit is two months rent. no loud music after 10 pm. no smoking inside the house.,"searching for a rental with parking and lift around perungalathur, chennai bypass road.",flooring shows normal wear. kitchen cabinets in good condition.,no,not_applicable,1
15000,2022-06-18,2,1000,ground out of 3,super area,madipakkam,chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in madipakkam, chennai","2 bhk semi-furnished home of 1000 sq ft (super area). location: madipakkam, chennai. floor: ground out of 3. bathrooms: 2. tenant preference: bachelors/family. rent: inr 15000 per month.","park, rainwater harvesting, visitor parking, cctv, lift, water supply, gym",near bus stop (1.8 km); near mall (2.1 km),clean and well maintained building. | spacious rooms and good ventilation.,not_applicable,tenant must follow society by-laws. security deposit is two months rent. no loud music after 10 pm. maintenance charges are extra.,"want to move in next month, budget around inr 15000.",electrical fittings are working properly. kitchen cabinets in good condition. walls need minor repainting.,no,not_applicable,1
8200,2022-06-27,2,840,1 out of 1,carpet area,rajakillpakkam,chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in rajakillpakkam, chennai","2 bhk unfurnished home of 840 sq ft (carpet area). location: rajakillpakkam, chennai. floor: 1 out of 1. bathrooms: 2. tenant preference: bachelors/family. rent: inr 8200 per month.","fire safety, internet ready, club house, cctv, gym, visitor parking",near bank (2.4 km); near mall (3.9 km),spacious rooms and good ventilation. | clean and well maintained building. | safe area with friendly neighbors.,not_applicable,one month notice required before vacating. tenant must follow society by-laws. maintenance charges are extra. no smoking inside the house.,searching for a rental with parking and lift around rajakillpakkam.,walls need minor repainting. bathrooms are clean and functional. flooring shows normal wear.,no,not_applicable,1
20000,2022-07-06,2,750,1 out of 5,carpet area,velachery,chennai,furnished,family,2,contact owner,"2 bhk furnished home in velachery, chennai","2 bhk furnished home of 750 sq ft (carpet area). location: velachery, chennai. floor: 1 out of 5. bathrooms: 2. tenant preference: family. rent: inr 20000 per month.","power backup, parking, fire safety, gym, gated community, water supply, cctv",near temple (1.4 km); near school (2.0 km),owner is responsive and helpful. | easy access to public transport. | clean and well maintained building.,not_applicable,maintenance charges are extra. security deposit is two months rent. no smoking inside the house.,"need a furnished home in chennai, prefer family.",kitchen cabinets in good condition. good natural light in living room.,no,not_applicable,1
9000,2022-07-06,2,950,2 out of 3,super area,"kattupakkam, ph road",chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in kattupakkam, ph road, chennai","2 bhk semi-furnished home of 950 sq ft (super area). location: kattupakkam, ph road, chennai. floor: 2 out of 3. bathrooms: 2. tenant preference: bachelors/family. rent: inr 9000 per month.","parking, power backup, lift, play area, maintenance staff",near bus stop (2.7 km); near park (3.8 km); near hospital (2.4 km); near metro station (1.8 km),spacious rooms and good ventilation. | clean and well maintained building. | good water supply and quiet neighborhood.,not_applicable,no loud music after 10 pm. one month notice required before vacating. maintenance charges are extra.,"want to move in next month, budget around inr 9000.",bathrooms are clean and functional. flooring shows normal wear.,no,not_applicable,1
13500,2022-05-20,1,550,ground out of 1,super area,anna nagar,chennai,semi-furnished,bachelors/family,1,contact owner,"1 bhk semi-furnished home in anna nagar, chennai","1 bhk semi-furnished home of 550 sq ft (super area). location: anna nagar, chennai. floor: ground out of 1. bathrooms: 1. tenant preference: bachelors/family. rent: inr 13500 per month.","intercom, visitor parking, waste management, community hall, play area",near school (2.5 km); near railway station (2.5 km); near pharmacy (1.9 km),safe area with friendly neighbors. | clean and well maintained building.,not_applicable,tenant must follow society by-laws. no smoking inside the house. one month notice required before vacating.,"need a semi-furnished home in chennai, prefer bachelors/family.",good natural light in living room. bathrooms are clean and functional.,no,not_applicable,1
26000,2022-05-05,3,1125,2 out of 3,super area,"purasawalkam, ph road",chennai,semi-furnished,bachelors/family,2,contact owner,"3 bhk semi-furnished home in purasawalkam, ph road, chennai","3 bhk semi-furnished home of 1125 sq ft (super area). location: purasawalkam, ph road, chennai. floor: 2 out of 3. bathrooms: 2. tenant preference: bachelors/family. rent: inr 26000 per month.","rainwater harvesting, solar lighting, internet ready, water supply, parking, cctv, park, maintenance staff",near clinic (3.7 km); near metro station (0.7 km),owner is responsive and helpful. | good water supply and quiet neighborhood. | parking is convenient and secure.,not_applicable,no smoking inside the house. tenant must follow society by-laws. one month notice required before vacating.,"need a semi-furnished home in chennai, prefer bachelors/family.",good natural light in living room. flooring shows normal wear.,no,not_applicable,0
11000,2022-06-18,2,700,1 out of 3,carpet area,tiruvottiyur,chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in tiruvottiyur, chennai","2 bhk unfurnished home of 700 sq ft (carpet area). location: tiruvottiyur, chennai. floor: 1 out of 3. bathrooms: 2. tenant preference: bachelors/family. rent: inr 11000 per month.","parking, rainwater harvesting, internet ready, security, fire safety, community hall",near park (1.9 km); near hospital (3.2 km),spacious rooms and good ventilation. | easy access to public transport. | owner is responsive and helpful.,not_applicable,security deposit is two months rent. tenant must follow society by-laws. no loud music after 10 pm. pets allowed only with prior approval.,"want to move in next month, budget around inr 11000.",bathrooms are clean and functional. walls need minor repainting. electrical fittings are working properly.,no,not_applicable,1
18000,2022-06-22,2,1100,1 out of 2,super area,"tambaram west, tambaram, chennai bypass road",chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in tambaram west, tambaram, chennai bypass road, chennai","2 bhk semi-furnished home of 1100 sq ft (super area). location: tambaram west, tambaram, chennai bypass road, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 18000 per month.","lift, visitor parking, park, fire safety, gym",near temple (2.2 km); near clinic (2.5 km),easy access to public transport. | owner is responsive and helpful.,not_applicable,tenant must follow society by-laws. no loud music after 10 pm. maintenance charges are extra. no smoking inside the house.,"need a semi-furnished home in chennai, prefer bachelors/family.",bathrooms are clean and functional. walls need minor repainting. flooring shows normal wear.,no,not_applicable,1
10000,2022-06-02,2,700,ground out of 2,super area,"kubera nagar, madipakkam",chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in kubera nagar, madipakkam, chennai","2 bhk unfurnished home of 700 sq ft (super area). location: kubera nagar, madipakkam, chennai. floor: ground out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 10000 per month.","play area, gym, intercom, cctv, park, parking",near clinic (1.3 km); near bus stop (2.1 km); near mall (1.3 km); near pharmacy (1.1 km),good water supply and quiet neighborhood. | clean and well maintained building.,not_applicable,pets allowed only with prior approval. security deposit is two months rent. maintenance charges are extra. no smoking inside the house.,"looking for a 2 bhk near kubera nagar, madipakkam within inr 10000.",good natural light in living room. walls need minor repainting.,no,not_applicable,1
40000,2022-05-17,3,1250,2 out of 4,carpet area,t nagar,chennai,semi-furnished,bachelors,3,contact agent,"3 bhk semi-furnished home in t nagar, chennai","3 bhk semi-furnished home of 1250 sq ft (carpet area). location: t nagar, chennai. floor: 2 out of 4. bathrooms: 3. tenant preference: bachelors. rent: inr 40000 per month.","lift, gym, solar lighting, club house, cctv, security",near clinic (2.1 km); near church (3.4 km),good water supply and quiet neighborhood. | maintenance is timely and professional.,not_applicable,maintenance charges are extra. no smoking inside the house. no loud music after 10 pm. tenant must follow society by-laws.,looking for a 3 bhk near t nagar within inr 40000.,kitchen cabinets in good condition. walls need minor repainting. electrical fittings are working properly.,no,not_applicable,0
24000,2022-06-06,2,1100,ground out of 3,super area,vadapalani,chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in vadapalani, chennai","2 bhk unfurnished home of 1100 sq ft (super area). location: vadapalani, chennai. floor: ground out of 3. bathrooms: 2. tenant preference: bachelors/family. rent: inr 24000 per month.","gated community, gym, power backup, lift, rainwater harvesting, fire safety, solar lighting",near supermarket (1.6 km); near church (3.6 km); near mall (0.7 km); near pharmacy (2.3 km),good water supply and quiet neighborhood. | parking is convenient and secure.,not_applicable,maintenance charges are extra. no smoking inside the house. security deposit is two months rent.,looking for a 2 bhk near vadapalani within inr 24000.,good natural light in living room. walls need minor repainting. electrical fittings are working properly.,no,not_applicable,1
18000,2022-05-17,1,475,2 out of 11,carpet area,sholinganallur,chennai,semi-furnished,bachelors/family,1,contact agent,"1 bhk semi-furnished home in sholinganallur, chennai","1 bhk semi-furnished home of 475 sq ft (carpet area). location: sholinganallur, chennai. floor: 2 out of 11. bathrooms: 1. tenant preference: bachelors/family. rent: inr 18000 per month.","gated community, lift, water supply, internet ready, gym, community hall, solar lighting",near market (3.4 km); near supermarket (3.0 km),good water supply and quiet neighborhood. | easy access to public transport. | spacious rooms and good ventilation.,not_applicable,no smoking inside the house. tenant must follow society by-laws. security deposit is two months rent. no loud music after 10 pm.,"need a semi-furnished home in chennai, prefer bachelors/family.",electrical fittings are working properly. good natural light in living room.,no,not_applicable,1
11000,2022-06-17,2,530,2 out of 3,super area,jyothi nagar-ekkatuthangal,chennai,semi-furnished,bachelors/family,1,contact owner,"2 bhk semi-furnished home in jyothi nagar-ekkatuthangal, chennai","2 bhk semi-furnished home of 530 sq ft (super area). location: jyothi nagar-ekkatuthangal, chennai. floor: 2 out of 3. bathrooms: 1. tenant preference: bachelors/family. rent: inr 11000 per month.","internet ready, lift, rainwater harvesting, gated community, play area",near temple (3.5 km); near church (0.5 km); near mall (1.2 km),owner is responsive and helpful. | clean and well maintained building. | easy access to public transport.,not_applicable,pets allowed only with prior approval. tenant must follow society by-laws. no loud music after 10 pm. maintenance charges are extra.,searching for a rental with parking and lift around jyothi nagar-ekkatuthangal.,kitchen cabinets in good condition. walls need minor repainting. electrical fittings are working properly.,no,not_applicable,1
23000,2022-05-19,2,1050,11 out of 12,carpet area,vadapalani,chennai,semi-furnished,family,2,contact agent,"2 bhk semi-furnished home in vadapalani, chennai","2 bhk semi-furnished home of 1050 sq ft (carpet area). location: vadapalani, chennai. floor: 11 out of 12. bathrooms: 2. tenant preference: family. rent: inr 23000 per month.","gated community, gym, intercom, community hall, park, play area, internet ready, water supply",near bank (0.9 km); near temple (1.0 km),safe area with friendly neighbors. | good water supply and quiet neighborhood.,not_applicable,tenant must follow society by-laws. no loud music after 10 pm. maintenance charges are extra. pets allowed only with prior approval.,"need a semi-furnished home in chennai, prefer family.",bathrooms are clean and functional. electrical fittings are working properly. good natural light in living room.,no,not_applicable,1
11000,2022-05-18,2,830,ground out of 2,super area,sembakkam,chennai,semi-furnished,family,2,contact owner,"2 bhk semi-furnished home in sembakkam, chennai","2 bhk semi-furnished home of 830 sq ft (super area). location: sembakkam, chennai. floor: ground out of 2. bathrooms: 2. tenant preference: family. rent: inr 11000 per month.","play area, visitor parking, club house, cctv, security, community hall, solar lighting",near bus stop (2.6 km); near pharmacy (3.0 km); near bank (3.7 km); near atm (0.8 km),easy access to public transport. | safe area with friendly neighbors.,not_applicable,maintenance charges are extra. security deposit is two months rent. tenant must follow society by-laws.,"want to move in next month, budget around inr 11000.",bathrooms are clean and functional. good natural light in living room. kitchen cabinets in good condition.,no,not_applicable,1
8000,2022-06-20,2,809,1 out of 2,super area,"chromepet, gst road",chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in chromepet, gst road, chennai","2 bhk unfurnished home of 809 sq ft (super area). location: chromepet, gst road, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 8000 per month.","cctv, intercom, waste management, water supply, rainwater harvesting, visitor parking",near park (1.1 km); near supermarket (1.3 km),clean and well maintained building. | safe area with friendly neighbors.,not_applicable,no loud music after 10 pm. tenant must follow society by-laws. pets allowed only with prior approval.,"want to move in next month, budget around inr 8000.",walls need minor repainting. kitchen cabinets in good condition. flooring shows normal wear.,no,not_applicable,1
15000,2022-07-06,2,900,ground out of 3,super area,"kattupakkam, ph road",chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in kattupakkam, ph road, chennai","2 bhk semi-furnished home of 900 sq ft (super area). location: kattupakkam, ph road, chennai. floor: ground out of 3. bathrooms: 2. tenant preference: bachelors/family. rent: inr 15000 per month.","waste management, gated community, club house, fire safety, visitor parking, community hall, park",near market (1.6 km); near atm (1.2 km); near hospital (1.7 km),easy access to public transport. | spacious rooms and good ventilation. | safe area with friendly neighbors.,broker asked for advance without visit. | owner delayed returning security deposit.,pets allowed only with prior approval. no smoking inside the house. no loud music after 10 pm.,"need a semi-furnished home in chennai, prefer bachelors/family.",kitchen cabinets in good condition. good natural light in living room. walls need minor repainting.,yes,asked for payment before sharing address. | inconsistent photos and description.,1
9500,2022-07-06,1,700,ground out of 2,super area,"santhosapuram, medavakkam",chennai,semi-furnished,bachelors/family,1,contact owner,"1 bhk semi-furnished home in santhosapuram, medavakkam, chennai","1 bhk semi-furnished home of 700 sq ft (super area). location: santhosapuram, medavakkam, chennai. floor: ground out of 2. bathrooms: 1. tenant preference: bachelors/family. rent: inr 9500 per month.","internet ready, parking, visitor parking, water supply, gated community, intercom, community hall",near park (1.4 km); near temple (2.0 km); near college (0.7 km),clean and well maintained building. | spacious rooms and good ventilation.,not_applicable,no smoking inside the house. tenant must follow society by-laws. pets allowed only with prior approval. no loud music after 10 pm.,"searching for a rental with parking and lift around santhosapuram, medavakkam.",electrical fittings are working properly. walls need minor repainting.,no,not_applicable,1
13500,2022-05-16,2,1150,1 out of 2,super area,"tambaram west, tambaram, chennai bypass road",chennai,semi-furnished,bachelors,2,contact owner,"2 bhk semi-furnished home in tambaram west, tambaram, chennai bypass road, chennai","2 bhk semi-furnished home of 1150 sq ft (super area). location: tambaram west, tambaram, chennai bypass road, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: bachelors. rent: inr 13500 per month.","lift, club house, play area, gym, park, gated community, parking",near hospital (1.5 km); near bank (1.4 km); near temple (3.0 km),maintenance is timely and professional. | easy access to public transport.,not_applicable,no smoking inside the house. maintenance charges are extra. one month notice required before vacating. tenant must follow society by-laws.,"looking for a 2 bhk near tambaram west, tambaram, chennai bypass road within inr 13500.",walls need minor repainting. flooring shows normal wear.,no,not_applicable,1
11000,2022-05-29,1,750,ground out of 2,super area,porur gardens,chennai,semi-furnished,bachelors/family,1,contact owner,"1 bhk semi-furnished home in porur gardens, chennai","1 bhk semi-furnished home of 750 sq ft (super area). location: porur gardens, chennai. floor: ground out of 2. bathrooms: 1. tenant preference: bachelors/family. rent: inr 11000 per month.","fire safety, internet ready, rainwater harvesting, water supply, cctv",near railway station (3.0 km); near park (2.0 km),parking is convenient and secure. | good water supply and quiet neighborhood. | safe area with friendly neighbors.,not_applicable,tenant must follow society by-laws. maintenance charges are extra. pets allowed only with prior approval. no smoking inside the house.,"want to move in next month, budget around inr 11000.",kitchen cabinets in good condition. good natural light in living room. electrical fittings are working properly.,no,not_applicable,1
13000,2022-06-23,2,920,ground out of 1,super area,"ullagaram, pallavaram-thuraipakkam road",chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in ullagaram, pallavaram-thuraipakkam road, chennai","2 bhk semi-furnished home of 920 sq ft (super area). location: ullagaram, pallavaram-thuraipakkam road, chennai. floor: ground out of 1. bathrooms: 2. tenant preference: bachelors/family. rent: inr 13000 per month.","security, fire safety, gym, water supply, power backup",near mall (3.5 km); near mosque (3.3 km); near temple (1.1 km); near school (1.9 km),owner is responsive and helpful. | easy access to public transport. | spacious rooms and good ventilation.,not_applicable,maintenance charges are extra. pets allowed only with prior approval. one month notice required before vacating. no smoking inside the house.,"need a semi-furnished home in chennai, prefer bachelors/family.",walls need minor repainting. good natural light in living room. kitchen cabinets in good condition.,no,not_applicable,1
